celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Plasmacytoid dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Plasmacytoid dendritic cell,251,23,1.07574531846329e-39,3.26919002280993e-36
HAY_BONE_MARROW_DENDRITIC_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_DENDRITIC_CELL,143,20,4.41092539921319e-37,6.70240114410445e-34
Plasmacytoid dendritic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Plasmacytoid dendritic cells,43,12,2.46575931516809e-25,2.49781418626527e-22
Plasmacytoid dendritic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Plasmacytoid dendritic cells,41,10,1.97291887413704e-20,1.49892511462562e-17
HPCA_Dendritic_cells_plasmacytoid+ | Human | SaVanT,SaVanT,Human,,HPCA_Dendritic_cells_plasmacytoid+,50,10,1.79314106855921e-19,1.08987114147029e-16
PLASMACYTOID DENDRITIC CELL | ARCHS4,ARCHS4,,,PLASMACYTOID DENDRITIC CELL,1463,19,5.55715713143151e-15,2.81470008707006e-12
Plasmacytoid dendritic cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Plasmacytoid dendritic cell,6,5,4.71573309254974e-14,2.04730183832267e-11
Plasmacytoid dendritic cell | Human | CellMarker,CellMarker,Human,,Plasmacytoid dendritic cell,8,5,4.39169928848004e-13,1.66829676721136e-10
pDC_FANTOM_3 | Human | xCell,xCell,Human,,pDC_FANTOM_3,15,5,1.19996047221452e-10,4.05186652784437e-08
Microglial cell | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Microglial cell,356,8,7.12617207576497e-08,2.16564369382497e-05
Specialist antigen presenting cell | Human | CellMarker,CellMarker,Human,,Specialist antigen presenting cell,30,4,1.51587661705929e-07,4.18795367203926e-05
pDC_NOVERSHTERN_1 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_1,9,3,3.28135960930429e-07,8.31004321056311e-05
pDC_NOVERSHTERN_2 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_2,10,3,4.68256694393962e-07,0.000109464007251019
pDC_NOVERSHTERN_3 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_3,13,3,1.11238073716876e-06,0.000199293401875568
HPCA_Dendritic_cells_BDCA3+ | Human | SaVanT,SaVanT,Human,,HPCA_Dendritic_cells_BDCA3+,50,4,1.24599362804731e-06,0.000199293401875568
IMGN_DC_pDC_8-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8-_Sp,50,4,1.24599362804731e-06,0.000199293401875568
IMGN_DC_pDC_8+_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_MLN,50,4,1.24599362804731e-06,0.000199293401875568
IMGN_DC_pDC_8+_SLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_SLN,50,4,1.24599362804731e-06,0.000199293401875568
IMGN_DC_pDC_8+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_Sp,50,4,1.24599362804731e-06,0.000199293401875568
AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3,16,3,2.1710019657243e-06,0.000329883748691808
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS,17,3,2.63335479357083e-06,0.000381084057983892
B cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell,450,7,6.02045714719943e-06,0.000831644057742684
AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1,28,3,1.25359138200292e-05,0.00165637574343776
pDC_FANTOM_2 | Human | xCell,xCell,Human,,pDC_FANTOM_2,6,2,3.88100896347789e-05,0.00491432760000388
CD19+ B CELLS | ARCHS4,ARCHS4,,,CD19+ B CELLS,1089,9,6.53020084138852e-05,0.00695465719311544
pDC_FANTOM_1 | Human | xCell,xCell,Human,,pDC_FANTOM_1,8,2,7.22994245794978e-05,0.00695465719311544
dendritic_plasmacytoid_B220+ | SaVanT,SaVanT,,,dendritic_plasmacytoid_B220+,50,3,7.32310069692972e-05,0.00695465719311544
IMGN_B_MZ_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_B_MZ_Sp,50,3,7.32310069692972e-05,0.00695465719311544
IMGN_B_T2_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_B_T2_Sp,50,3,7.32310069692972e-05,0.00695465719311544
IMGN_Mo_6C+II-_Bl | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Mo_6C+II-_Bl,50,3,7.32310069692972e-05,0.00695465719311544
IMGN_Mo_6C+II+_Bl | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Mo_6C+II+_Bl,50,3,7.32310069692972e-05,0.00695465719311544
