celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,19,3.36876851637779e-31,1.02376875212721e-27
Transit amplifying (TA) cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Transit amplifying (TA) cell,106,11,3.82400936033335e-18,5.81058222302652e-15
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,215,12,1.5534486292914e-17,1.57364346147219e-14
Goblet cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Goblet cell,233,12,2.35968622845042e-16,1.7927716120652e-13
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,206,11,7.57318717383108e-16,4.60298316425453e-13
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA,239,11,4.07553303285429e-15,2.0642574811407e-12
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA,243,11,5.34623519002197e-15,2.32102982035382e-12
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,256,11,8.64290824396542e-15,3.28322476917636e-12
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,15,2.50539616203922e-14,8.15788862457282e-12
LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB,285,11,2.68439902091899e-14,8.15788862457282e-12
MURARO_PANCREAS_ACINAR_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ACINAR_CELL,558,13,3.83621583175094e-14,1.05984181024465e-11
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,15,4.11413649566983e-13,1.04190506752838e-10
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,14,7.73708908687718e-13,1.80869336423229e-10
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,15,9.98411934867257e-13,2.167267050044e-10
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,14,1.84057809586219e-11,3.7290112222168e-09
LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3 | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3,103,7,7.04894973920351e-11,1.33885989108997e-08
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,7,2.14576380908625e-10,3.83586836224302e-08
Mitotic fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Mitotic fetal germ cell,487,10,3.19974211434422e-10,5.40223126971783e-08
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS,74,6,5.54979739113433e-10,8.8767548798196e-08
MA_Tconv | Human | SaVanT,SaVanT,Human,,MA_Tconv,50,5,6.79860399485799e-09,9.83855120970164e-07
MA_Tnaive | Human | SaVanT,SaVanT,Human,,MA_Tnaive,50,5,6.79860399485799e-09,9.83855120970164e-07
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,114,6,7.72268946200693e-09,1.0667842397745e-06
Lymphocyte | Human | TISSUES,TISSUES,Human,,Lymphocyte,520,9,1.28439441142221e-08,1.62636442346337e-06
Lymphoid cell | Human | TISSUES,TISSUES,Human,,Lymphoid cell,520,9,1.28439441142221e-08,1.62636442346337e-06
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,10,1.66960439449789e-08,2.02957110195163e-06
Lymphoblast | Human | TISSUES,TISSUES,Human,,Lymphoblast,245,7,2.63439674201166e-08,3.07920449960516e-06
Schwalie et al.Nature.G4 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G4,150,6,7.89063407245707e-08,8.88134701711001e-06
Leydig precursor cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig precursor cell,168,6,8.46595410610024e-08,9.18858376015665e-06
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR,92,5,1.37285048255241e-07,1.4386526263713e-05
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL,500,8,1.8382581160973e-07,1.86215547160656e-05
Leukocyte | Human | TISSUES,TISSUES,Human,,Leukocyte,724,9,2.37008883738523e-07,2.32345160542378e-05
Hematopoietic cell | Human | TISSUES,TISSUES,Human,,Hematopoietic cell,765,9,3.75988048104589e-07,3.57071149434327e-05
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL,113,5,5.63584588736555e-07,5.19010171263755e-05
KIDNEY (BULK TISSUE) | ARCHS4,ARCHS4,,,KIDNEY (BULK TISSUE),1442,11,7.98616531850145e-07,7.1382224714488e-05
Schwalie et al.Nature.P1 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.P1,148,5,2.15700848833401e-06,0.000187289965601344
Naive CD4+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD4+ T cell,22,3,3.44283398304061e-06,0.000290632568735011
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,10,4.6262899087644e-06,0.000379980946830676
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,10,5.24320831504927e-06,0.000419318686037756
Basal cell | Trachea | Mouse | CellMarker,CellMarker,Mouse,Trachea,Basal cell,77,4,5.82529168361901e-06,0.000453924651962005
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,10,2.85496312377718e-05,0.00216905823328971
