celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,8,2.87693413036418e-12,8.74300282217674e-09
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL,113,6,1.05690761634272e-10,1.60597112303276e-07
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22,4,1.0791517645672e-09,1.09318073750657e-06
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,8,4.74959200736941e-09,3.60850252759891e-06
MA_Tconv | Human | SaVanT,SaVanT,Human,,MA_Tconv,50,4,3.64742021497031e-08,1.58350143332782e-05
MA_Tmemory | Human | SaVanT,SaVanT,Human,,MA_Tmemory,50,4,3.64742021497031e-08,1.58350143332782e-05
MA_Tnaive | Human | SaVanT,SaVanT,Human,,MA_Tnaive,50,4,3.64742021497031e-08,1.58350143332782e-05
REGULATORY T CELLS | ARCHS4,ARCHS4,,,REGULATORY T CELLS,1199,8,2.53596994831078e-07,9.63351584114557e-05
CD4+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_2,23,3,4.95620046542668e-07,0.000167354369049241
CD4+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_3,24,3,5.66199131225383e-07,0.000172067915979394
CD4+ T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_1,25,3,6.43153903021496e-07,0.000177685882843848
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,4,1.33276925843336e-06,0.000329846556843864
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,4,1.66024116276755e-06,0.000329846556843864
T memory cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T memory cells,38,3,2.34688719043928e-06,0.000329846556843864
T memory cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T memory cells,40,3,3.42647487143759e-06,0.000329846556843864
