celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,5,1.57345391991356e-08,4.78172646261732e-05
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,4,7.80376753474854e-08,0.000118578247690504
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,3,7.6676759756008e-06,0.00776735576328361
CUI_DEVELOPING_HEART_C8_MACROPHAGE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C8_MACROPHAGE,196,3,4.90247477974144e-05,0.0372465521390856
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,256,3,9.42007977483265e-05,0.0572552448714328
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,3,0.000131787218650491,0.0667502262464738
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,2,0.000164191231526747,0.0712824503728265
Lymphoid-primed multipotent progenitor cell | Umbilical cord blood | Human | CellMarker,CellMarker,Human,Umbilical cord blood,Lymphoid-primed multipotent progenitor cell,55,2,0.000191100107940351,0.0719045850653267
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,2,0.000243047779526455,0.0719045850653267
ZHENG_CORD_BLOOD_C5_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C5_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE,56,2,0.000250972437203407,0.0719045850653267
AIZARANI_LIVER_C28_NK_NKT_CELLS_6 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C28_NK_NKT_CELLS_6,66,2,0.000275500275041947,0.0719045850653267
ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1 | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1,67,2,0.000283927285549167,0.0719045850653267
ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR,80,2,0.000415044101160919,0.0970245402636948
AIZARANI_LIVER_C5_NK_NKT_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C5_NK_NKT_CELLS_3,88,2,0.000523647713220495,0.113668957176935
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,2,0.000969526440296319,0.196426056804034
