celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS,62,14,1.17071173604984e-29,3.55779296585545e-26
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,15,5.83336083268546e-29,8.86379178526556e-26
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,11,3.13817480861632e-23,2.38422831084625e-20
HPCA_T_cells_CD8+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD8+,50,11,3.13817480861632e-23,2.38422831084625e-20
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,18,3.98698263172246e-22,2.42328804356091e-19
CD8+ Tem_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_3,42,10,2.48660047548873e-21,1.25946314083504e-18
NK cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,NK cells,58,10,6.23994408661918e-20,2.70902715417653e-17
CD4+ cytotoxic T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,CD4+ cytotoxic T cell,57,10,8.94540724945851e-20,3.39813657888805e-17
CD8plus_T-cell | SaVanT,SaVanT,,,CD8plus_T-cell,50,9,4.18040090411221e-18,1.05868652896642e-15
HPCA_T_cells_gamma-delta | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_gamma-delta,50,9,4.18040090411221e-18,1.05868652896642e-15
MA_NK_cells | Human | SaVanT,SaVanT,Human,,MA_NK_cells,50,9,4.18040090411221e-18,1.05868652896642e-15
NK cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,NK cells,51,9,4.18040090411221e-18,1.05868652896642e-15
IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d15_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_VSVOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_LN,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_Sp_OT1_d100_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d100_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_Sp_OT1_d106_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d106_VSVOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_Sp_OT1_d45_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_LisOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_T_8Mem_Sp_OT1_d45_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_VSVOva,50,8,9.31850112833154e-16,1.08918942034614e-13
IMGN_Tgd_vg2+_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp_TCRbko,50,8,9.31850112833154e-16,1.08918942034614e-13
AIZARANI_LIVER_C5_NK_NKT_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C5_NK_NKT_CELLS_3,88,9,1.04915119067233e-15,1.18087795127897e-13
SJS | SaVanT,SaVanT,,,SJS,50,8,1.10443982668041e-15,1.19871165474349e-13
HPCA_NK_cells | Human | SaVanT,SaVanT,Human,,HPCA_NK_cells,50,8,1.30432851041766e-15,1.36684632522734e-13
NATURAL KILLER CELLS | ARCHS4,ARCHS4,,,NATURAL KILLER CELLS,1371,17,2.02058808219303e-15,2.04685572726154e-13
CD8+ Tem_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_2,97,9,2.53135935829047e-15,2.48154873865959e-13
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL,94,9,6.67593345997186e-15,6.34005055776703e-13
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,8,1.81950154147951e-14,1.67559551047159e-12
HAY_BONE_MARROW_CD8_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_CD8_T_CELL,43,7,9.21355824456969e-14,8.23529514860215e-12
IMGN_T_8Nve_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_LN,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_T_8Nve_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_T_8Nve_Sp_OT1 | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp_OT1,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_T_8SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24-_Th,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_Tgd_vg2-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_Tgd_vg2-_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp_TCRbko,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_Tgd_vg5-_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_act_IEL,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_Tgd_vg5-_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_IEL,50,7,2.02038695140399e-13,1.39544453302653e-11
IMGN_Tgd_vg5+_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+_act_IEL,50,7,2.02038695140399e-13,1.39544453302653e-11
