celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
AIZARANI_LIVER_C6_KUPFFER_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C6_KUPFFER_CELLS_2,167,11,9.63363203006238e-19,2.90532761081002e-15
Monocyte | Fetal kidney | Human | CellMarker,CellMarker,Human,Fetal kidney,Monocyte,586,14,1.91202870076342e-18,2.90532761081002e-15
AIZARANI_LIVER_C2_KUPFFER_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C2_KUPFFER_CELLS_1,147,9,6.65074728417228e-15,6.73720699886652e-12
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES,27,6,1.74266345033692e-13,1.32398855639348e-10
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C25_KUPFFER_CELLS_4,129,8,2.80124443119161e-13,1.70259636527826e-10
CD1C-CD141- dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD1C-CD141- dendritic cell,239,9,5.67295699752137e-13,2.87335271924457e-10
CUI_DEVELOPING_HEART_C8_MACROPHAGE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C8_MACROPHAGE,196,8,1.26045181163115e-11,5.47216150792437e-09
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES,57,6,1.84075989347092e-11,6.99258664532267e-09
AIZARANI_LIVER_C23_KUPFFER_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C23_KUPFFER_CELLS_3,158,7,1.26993988611324e-10,4.10179750972673e-08
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,79,6,1.34971948329277e-10,4.10179750972673e-08
AIZARANI_LIVER_C31_KUPFFER_CELLS_5 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C31_KUPFFER_CELLS_5,82,6,1.82161158798172e-10,4.9607928215663e-08
Dendritic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Dendritic cells,78,6,1.95885205195115e-10,4.9607928215663e-08
AIZARANI_LIVER_C18_NK_NKT_CELLS_5 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C18_NK_NKT_CELLS_5,89,6,2.59681517043582e-10,6.07055484842649e-08
MACROPHAGE | ARCHS4,ARCHS4,,,MACROPHAGE,1551,12,1.72630949526855e-09,3.63862169697042e-07
Paneth cell | Large intestine | Human | CellMarker,CellMarker,Human,Large intestine,Paneth cell,230,7,1.79596332525687e-09,3.63862169697042e-07
GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL,237,7,2.20925216144246e-09,4.19619832413977e-07
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,5,4.04419746781803e-09,7.22959770864646e-07
HU_FETAL_RETINA_MICROGLIA | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_MICROGLIA,274,7,6.63587905768570e-09,1.12035758090593e-06
HAY_BONE_MARROW_MONOCYTE | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_MONOCYTE,171,6,1.50437008014668e-08,2.40533043820218e-06
Macrophage | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Macrophage,71,5,1.58297495110377e-08,2.40533043820218e-06
FAN_EMBRYONIC_CTX_BRAIN_MYELOID | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_MYELOID,98,5,5.08096961279614e-08,7.35288888251785e-06
HPCA_Monocytes_CD16plusCD14minus | Human | SaVanT,SaVanT,Human,,HPCA_Monocytes_CD16plusCD14minus,50,4,1.98685100391989e-07,2.73913985666956e-05
Monocytes_FANTOM_2 | Human | xCell,xCell,Human,,Monocytes_FANTOM_2,135,5,2.07305747625534e-07,2.73913985666956e-05
Monocytes_FANTOM_1 | Human | xCell,xCell,Human,,Monocytes_FANTOM_1,57,4,3.12865663165306e-07,3.96166145983069e-05
FAN_EMBRYONIC_CTX_MICROGLIA_3 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_MICROGLIA_3,15,3,4.32246820352021e-07,5.25439234819916e-05
ZHONG_PFC_MAJOR_TYPES_MICROGLIA | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,323,6,6.44166969278291e-07,7.52932084475663e-05
ALVEOLAR MACROPHAGE | ARCHS4,ARCHS4,,,ALVEOLAR MACROPHAGE,1182,9,7.8488654281428e-07,8.83433408745406e-05
Langerhans cells | Skin | Human | PanglaoDB,PanglaoDB,Human,Skin,Langerhans cells,18,3,9.18182493351543e-07,9.96555927605478e-05
Microglial cell | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Microglial cell,356,6,1.12828612594294e-06,0.000118236604715193
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,266,5,6.46078276932027e-06,0.000654477294532144
Monocytes_FANTOM_3 | Human | xCell,xCell,Human,,Monocytes_FANTOM_3,123,4,6.89620582897808e-06,0.000675206869249389
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,8,7.10977947218837e-06,0.000675206869249389
Granulosa cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Granulosa cell,131,4,8.85501919156618e-06,0.000815466767368777
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,8,1.11618663675971e-05,0.000997673879150809
IMGN_DC_103+11b-_Salm3_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_Salm3_SI,50,3,1.8206112173723e-05,0.00138320937239861
IMGN_MF_103-11b+_Salm3_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_103-11b+_Salm3_SI,50,3,1.8206112173723e-05,0.00138320937239861
IMGN_MF_11cloSer_Salm3_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_11cloSer_Salm3_SI,50,3,1.8206112173723e-05,0.00138320937239861
IMGN_MF_II+480lo_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_II+480lo_PC,50,3,1.8206112173723e-05,0.00138320937239861
IMGN_Mo_6C+II-_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Mo_6C+II-_LN,50,3,1.8206112173723e-05,0.00138320937239861
microglia | SaVanT,SaVanT,,,microglia,50,3,1.8206112173723e-05,0.00138320937239861
HPCA_Monocytes_CD14plusCD16minus | Human | SaVanT,SaVanT,Human,,HPCA_Monocytes_CD14plusCD16minus,50,3,1.93315763658062e-05,0.00139877763275441
MA_M_GMCSF_upLPS_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_upLPS_72h,50,3,1.93315763658062e-05,0.00139877763275441
HBA_CD14+_Monocytes | Human | SaVanT,SaVanT,Human,,HBA_CD14+_Monocytes,50,3,2.17181397513003e-05,0.00153491690009771
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,7,2.34714726284082e-05,0.00162113193903938
MURARO_PANCREAS_DUCTAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_DUCTAL_CELL,935,7,2.5668638749231e-05,0.00173348873686473
Secretory cell | Lung | Human | CellMarker,CellMarker,Human,Lung,Secretory cell,53,3,2.85147539162979e-05,0.00188383341633977
Dendritic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Dendritic cells,61,3,3.31951876881837e-05,0.00214638671030617
Microglial cell | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Microglial cell,63,3,4.60168880834595e-05,0.00285398618133946
Stem cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Stem cell,64,3,4.60168880834595e-05,0.00285398618133946
Monocytes_NOVERSHTERN_1 | Human | xCell,xCell,Human,,Monocytes_NOVERSHTERN_1,69,3,4.80776765626818e-05,0.0029221611814798
ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR,80,3,7.7690051653504e-05,0.00462941307794115
Macrophages | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Macrophages,85,3,8.97064670780774e-05,0.00524265295096687
