celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,18,1.6996487614834e-30,5.16523258614806e-27
Transit amplifying (TA) cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Transit amplifying (TA) cell,106,15,1.57311995587082e-28,2.39035577294572e-25
Goblet cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Goblet cell,233,16,7.41787454860958e-26,7.51430691774151e-23
LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB,285,16,1.58584273332953e-25,1.20484401664711e-22
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA,239,15,2.54087656949703e-24,1.5443447789403e-21
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,13,9.69090096957507e-24,4.90844134108977e-21
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,206,14,5.6974314347815e-23,2.47349916147157e-20
MURARO_PANCREAS_ACINAR_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ACINAR_CELL,558,17,7.05098227461125e-23,2.67849189156795e-20
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,215,14,1.19533586065966e-22,4.03625075616079e-20
LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3 | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3,103,12,3.37497075398235e-22,1.02565361213524e-19
